Date,Open,High,Low,Close,Adj Close,Volume
2012-09-20,30.93,31.5,30.68,30.9,30.9,912400
2019-11-19,351.75,359.98999,347.799988,359.519989,359.519989,7724800
2019-12-09,336.589996,344.450012,335.079987,339.529999,339.529999,9023100
2017-09-13,363.820007,368.070007,359.589996,366.230011,366.230011,4185200
2015-12-17,233.940002,237.759995,229.809998,233.389999,233.389999,3298600
2015-08-13,239.860001,246.479996,239.119995,242.509995,242.509995,4689200
2018-03-28,264.579987,268.679993,252.100006,257.779999,257.779999,21001400
2014-04-14,207.600006,208.440002,194.410004,198.089996,198.089996,7703000
2013-09-13,162.770004,166.369995,162.160004,165.539993,165.539993,5401200
2017-10-06,353.100006,360.100006,352.25,356.880005,356.880005,4297500
2011-05-24,27.02,27.5,26.6,26.719999,26.719999,613700
2016-02-11,152,163.259995,147,150.470001,150.470001,14252400
2017-07-20,326.899994,330.220001,324.200012,329.920013,329.920013,5166200
2012-10-16,27.67,28.09,27.34,28.059999,28.059999,479300
2015-05-26,247.679993,252,246.5,247.460007,247.460007,3498700
2019-05-24,199.830002,199.979996,188.75,190.630005,190.630005,14136600
2011-12-30,28.49,28.98,28.25,28.559999,28.559999,339800
2011-10-17,27.860001,28,27.26,27.42,27.42,754500
2010-10-08,20.43,20.790001,20.389999,20.43,20.43,267800
2016-05-16,208.149994,213.149994,207.919998,208.289993,208.289993,2949400
2019-03-28,277.160004,280.329987,275.100006,278.619995,278.619995,6774100
2014-06-26,237.169998,240.399994,234.210007,235.600006,235.600006,5121400
2014-05-08,182,194.399994,178,178.589996,178.589996,20056600
2014-03-10,242.699997,243,236.059998,238.839996,238.839996,7728100
2019-03-04,298.119995,299,282.779999,285.359985,285.359985,17096800
2010-12-20,31.639999,32.189999,31.26,31.700001,31.700001,523400
2011-03-17,23.24,23.43,22.639999,22.809999,22.809999,922600
2015-04-28,234.75,235.5,228.029999,230.479996,230.479996,6085400
2015-01-23,200.289993,203.5,198.330002,201.289993,201.289993,3438600
2018-11-01,338.26001,347.839996,334.730011,344.279999,344.279999,8000100
2015-06-11,253.259995,254.369995,250.429993,251.410004,251.410004,2044100
2016-01-29,189.949997,193.740005,188.080002,191.199997,191.199997,2852300
2010-08-04,21.950001,22.18,20.85,21.26,21.26,913000
